"state","id","res.area.m2","com.area.m2","frac.elec.res","frac.elec.com","frac.ff.res","frac.ff.com","hdd65","cdd65","acpen.res","acpen.com","tadj.rcp45","nerc.subregion"
"TX",48001950100,333369.743438173,24271.9410145241,0.629032258064516,0.629032258064516,0.325361512791991,0.365962180200222,2373,2320,0.999225129554665,1,1.18584507042253,3
"TX",48001950401,10536.0405456316,56206.1533967071,1,1,0,0,2136,2450,0.999507310769521,1,1.18584507042253,3
"TX",48001950402,12105.3589815949,98282.1282837632,0.85,0.85,0.15,0.15,2136,2450,0.999507310769521,1,1.18584507042253,3
"TX",48001950500,256222.504501579,96214.8485676987,0.417721518987342,0.417721518987342,0.582278481012658,0.582278481012658,2373,2320,0.999225129554665,1,1.18584507042253,3
"TX",48001950600,365170.457755585,84522.0704334049,0.542808219178082,0.542808219178082,0.457191780821918,0.457191780821918,2136,2450,0.999507310769521,1,1.18584507042253,3
"TX",48001950700,144924.471385265,104212.591806658,0.357142857142857,0.357142857142857,0.642857142857143,0.642857142857143,2373,2320,0.999225129554665,1,1.18584507042253,3
"TX",48001950800,332090.270946594,75142.6720315683,0.557150451887294,0.557150451887294,0.442849548112706,0.442849548112706,2373,2320,0.999225129554665,1,1.18584507042253,3
"TX",48001950901,292024.540068668,48831.3253521733,0.757859900717044,0.757859900717044,0.221180364037507,0.237727523441809,2136,2450,0.999507310769521,1,1.18584507042253,3
"TX",48001950902,371759.507984013,51469.3060590659,0.713565305093293,0.713565305093293,0.240544629349471,0.286434694906707,2373,2320,0.999225129554665,1,1.18584507042253,3
"TX",48001951000,449082.51743864,49796.6800697181,0.523772709702358,0.523772709702358,0.402783146501739,0.476227290297642,2373,2320,0.999225129554665,1,1.18584507042253,3
"TX",48001951100,297702.034191541,19495.6096191802,0.732083792723264,0.732083792723264,0.220507166482911,0.267916207276737,2136,2450,0.999507310769521,1,1.18584507042253,3
"TX",48003950100,107074.283128631,22283.4443872414,0.66412213740458,0.66412213740458,0.297709923664122,0.33587786259542,2566,2182,0.998751206217878,1,1.26140845070423,3
"TX",48003950200,397049.9299033,53985.1209564067,0.529459241323648,0.529459241323648,0.452784503631962,0.470540758676353,2566,2182,0.998751206217878,1,1.26140845070423,3
"TX",48003950300,207684.561632885,46691.3019333384,0.476556495003843,0.476556495003843,0.510376633358954,0.523443504996156,2566,2182,0.998751206217878,1,1.26140845070423,3
"TX",48003950400,153388.674447431,5768.5355383123,0.599221789883268,0.599221789883268,0.229571984435798,0.400778210116732,2566,2182,0.998751206217878,1,1.26140845070423,3
"TX",48005000101,339373.863841263,53766.4270246599,0.715304182509506,0.715304182509506,0.238117870722433,0.284695817490494,2324,2212,0.998873920756603,1,1.18283098591549,3
"TX",48005000102,265658.278536109,5886.89398247236,0.738023044269254,0.738023044269254,0.186173438447544,0.261976955730746,2324,2212,0.998873920756603,1,1.18283098591549,3
"TX",48005000200,392905.902488249,16533.2107004286,0.672879421833397,0.672879421833397,0.309623430962343,0.321034613921643,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000301,311614.080808682,70572.7733715387,0.524420325604341,0.524420325604341,0.447952639368525,0.475579674395659,2324,2212,0.998873920756603,1,1.18283098591549,3
"TX",48005000302,253851.808481071,28628.2571788808,0.658227848101266,0.658227848101266,0.299800133244504,0.334443704197202,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000400,293675.619923663,186856.62886953,0.516797054763,0.516797054763,0.470317533364013,0.483202945237,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000500,227902.486482219,138282.084934425,0.450327186198691,0.450327186198691,0.525877453896491,0.541344437834623,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000600,303397.914607344,106548.824484789,0.506287588846364,0.506287588846364,0.487698195735375,0.487698195735375,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000700,135434.612208118,134001.672703525,0.547120418848168,0.547120418848168,0.436300174520069,0.452879581151832,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000800,375127.618093302,195042.409783613,0.520123839009288,0.520123839009288,0.468819106590005,0.479876160990713,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000901,399402.98360028,72162.2497316764,0.493779160186625,0.493779160186625,0.501555209953343,0.506220839813374,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005000902,231149.638822482,57950.0366494756,0.644897959183673,0.644897959183673,0.339455782312925,0.355102040816326,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005001001,230818.899530516,49951.1775595354,0.67551867219917,0.67551867219917,0.278008298755187,0.315352697095436,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005001002,221666.465610492,27406.3967433291,0.697557471264368,0.697557471264368,0.271551724137931,0.302442528735632,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005001100,351083.562923702,23148.2789649753,0.646837033933808,0.646837033933808,0.314201927105152,0.344784248010054,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48005001200,302169.36276995,15355.9435912256,0.735832606800349,0.735832606800349,0.229293809938971,0.264167393199651,2056,2517,0.999610320781731,1,1.18283098591549,3
"TX",48005001300,339490.379288851,15154.994082519,0.699532952776336,0.699532952776336,0.271925272444215,0.300467047223665,1918,2595,0.999703726890628,1,1.18283098591549,3
"TX",48007950100,623932.15632065,66844.0166329381,0.681211684096646,0.681211684096646,0.317706455102777,0.317706455102777,876,3663,0.999993668872983,1,1.01804225352112,3
